query_type,RR@20,average_rank,evaluated_at_cet,top_k,num_queries_total,num_query_types,method,model_name,experiment,config_slug,text_source,chunk_size,chunk_overlap,include_title_chunk,index_dir
Case-beskrivning,0.09615384615384616,2.5,2026-03-20T14:51:51+01:00,20,13,7,dense,KBLab/bert-base-swedish-cased,dense-cleaned-text-run,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/dense-cleaned-text-run/indexes/dense/kblab-bert-base-swedish-cased/chunk_150__overlap_25__title_on__cleaned_text
Titel på rätt dokument,0.9090909090909091,1.0,2026-03-20T14:51:51+01:00,20,13,7,dense,KBLab/bert-base-swedish-cased,dense-cleaned-text-run,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/dense-cleaned-text-run/indexes/dense/kblab-bert-base-swedish-cased/chunk_150__overlap_25__title_on__cleaned_text
Titel utan stor bokstav,0.6666666666666667,1.25,2026-03-20T14:51:51+01:00,20,13,7,dense,KBLab/bert-base-swedish-cased,dense-cleaned-text-run,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/dense-cleaned-text-run/indexes/dense/kblab-bert-base-swedish-cased/chunk_150__overlap_25__title_on__cleaned_text
2 nyckelord,0.07692307692307693,1.0,2026-03-20T14:51:51+01:00,20,13,7,dense,KBLab/bert-base-swedish-cased,dense-cleaned-text-run,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/dense-cleaned-text-run/indexes/dense/kblab-bert-base-swedish-cased/chunk_150__overlap_25__title_on__cleaned_text
2 nyckelord med stavfel,0.07692307692307693,1.0,2026-03-20T14:51:51+01:00,20,13,7,dense,KBLab/bert-base-swedish-cased,dense-cleaned-text-run,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/dense-cleaned-text-run/indexes/dense/kblab-bert-base-swedish-cased/chunk_150__overlap_25__title_on__cleaned_text
2 nyckelord med synonymer,0.02564102564102564,3.0,2026-03-20T14:51:51+01:00,20,13,7,dense,KBLab/bert-base-swedish-cased,dense-cleaned-text-run,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/dense-cleaned-text-run/indexes/dense/kblab-bert-base-swedish-cased/chunk_150__overlap_25__title_on__cleaned_text
Längre sökterm,0.2076923076923077,2.25,2026-03-20T14:51:51+01:00,20,13,7,dense,KBLab/bert-base-swedish-cased,dense-cleaned-text-run,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/dense-cleaned-text-run/indexes/dense/kblab-bert-base-swedish-cased/chunk_150__overlap_25__title_on__cleaned_text
